base_pkg,adv_pkg,categories,typomind_cat
lit,plit,['Double hit character'],{'prefix/ suffix augmentation': 1}
lit,litx,['Suffix Added'],{'prefix/ suffix augmentation': 1}
lit,ljt,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
lit,llt,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard', 'Letter Duplicated and Replaced']",{'homographic replacement': 1}
lit,iit,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
lit,litt,"['Letter Duplicated', 'Letter Duplicated and Replaced']",{'prefix/ suffix augmentation': 1}
lit,jit,['Ascii Homoglpyh'],{'homographic replacement': 1}
lit,litjs,['Suffix Added'],{'prefix/ suffix augmentation': 1}
lit-element,lt-element,['Character Removed'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lit-html,lit-ntml,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lite-server,life-server,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
live-server,live-serve,['Character Removed'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
live-server,liveserver,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
live-server,livre-server,['Double hit character'],{'1-step D-L dist': 1}
live-server,liev-server,['Letters Swapped'],{'1-step D-L dist': 1}
live-server,live-server2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
live-server,life-server,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
livereload,livereload.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
livereload,livereloadx,['Suffix Added'],{'1-step D-L dist': 1}
livereload,livereload2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
livereload-js,livereload.js,['Separator Changed'],{'delimiter modification': 1}
lmdb,imdb,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
lmdb,omdb,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",{'1-step D-L dist': 1}
lmdb,jmdb,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
lmdb,lmbd,['Letters Swapped'],{'1-step D-L dist': 1}
lmdb,lhdb,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lmdb,mmdb,['Bit Flips'],{'1-step D-L dist': 1}
load-grunt-config,load-grunt-configs,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
load-module,load-modules,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
load-plugin,load-plugins,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
load-script,load-scripts,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
load-script,load-jscript,['After Separator'],{'1-step D-L dist': 1}
load-script,loadscript,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
loadash,lowdash,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
loadash,loadsh,['Character Removed'],{'1-step D-L dist': 1}
loadash,loodash,"['Ascii Homoglpyh', 'Letter Duplicated and Replaced', 'Swap Vowel']","{'1-step D-L dist': 1, 'homographic replacement': 1}"
loadash,luadash,['Swap Vowel'],{'1-step D-L dist': 1}
loadash,ladash,['Character Removed'],{'1-step D-L dist': 1}
loader.js,leader.js,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, 'homographic replacement': 1, '1-step D-L dist': 1}"
loader.js,loader.mjs,"['After Separator', 'Double hit character']",{'1-step D-L dist': 1}
loader.js,loaderjs,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
loadjs,loafjs,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
loadjs,loads,['Character Removed'],{'1-step D-L dist': 1}
loadjs,liadjs,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
local-time,localtime,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
local-web-server,local-webserver,['Character Removed'],{'delimiter modification': 1}
locale,locals,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
locale,ilocale,['Double hit character'],{'1-step D-L dist': 1}
locale,localejs,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
locale,local2,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
locale,xlocale,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 1}
locale,localr,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
locale,locale2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
locale,local,['Character Removed'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
locale-code,locale-codes,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
localforage,localtorage,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
localized-strings,localized-string,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
localStorage,ilocalstorage,['Double hit character'],{'1-step D-L dist': 2}
localStorage,xlocalstorage,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 2}
localStorage,localstoragex,['Suffix Added'],{'1-step D-L dist': 2}
localStorage,localtorage,['Character Removed'],{'1-step D-L dist': 1}
lock,lockjs,['Suffix Added'],{'prefix/ suffix augmentation': 1}
lock,locks,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
lock,sock,"['Bit Flips', 'Bit Flips']",{'1-step D-L dist': 1}
lock,oock,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",{'1-step D-L dist': 1}
lock,lock2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
lock,lockx,['Suffix Added'],{'1-step D-L dist': 1}
lock,loci,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lock,luck,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lock,pock,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lock,locl,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lock,lack,"['Ascii Homoglpyh', 'Swap Vowel']","{'homographic replacement': 1, 'homophonic similarity': True, '1-step D-L dist': 1}"
lock,xlock,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 1}
lock,llock,"['Double hit character', 'Letter Duplicated']","{'homophonic similarity': True, '1-step D-L dist': 1}"
lock,cock,['Bit Flips'],{'1-step D-L dist': 1}
lock,jock,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
lock,mock,['Bit Flips'],{'1-step D-L dist': 1}
lock,loco,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lock,look,"['Ascii Homoglpyh', 'Letter Duplicated and Replaced']","{'homographic replacement': 1, 'homophonic similarity': True, '1-step D-L dist': 1}"
lockfile,lookfile,"['Ascii Homoglpyh', 'Letter Duplicated and Replaced']","{'1-step D-L dist': 1, 'homographic replacement': 1}"
lockr,locker,['Double hit character'],{'1-step D-L dist': 1}
lockr,lockd,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lockr,mockr,['Bit Flips'],{'1-step D-L dist': 1}
lockr,locke,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
locutus,loctus,['Character Removed'],{'1-step D-L dist': 1}
lodash,jodash,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
lodash,ladash,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, 'homographic replacement': 1, '1-step D-L dist': 1}"
lodash,lodash.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
lodash,lodasn,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lodash,loodash,['Letter Duplicated'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
lodash,odash,['Character Removed'],{'1-step D-L dist': 1}
lodash,loadsh,['Letters Swapped'],{'1-step D-L dist': 1}
lodash,iodash,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
lodash,lodqsh,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
lodash,lodosh,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, '1-step D-L dist': 1, 'homographic replacement': 1}"
lodash,plodash,['Double hit character'],{'1-step D-L dist': 1}
lodash,lodahs,['Letters Swapped'],{'1-step D-L dist': 1}
lodash,lowdash,['Double hit character'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
lodash,lodas,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
lodash,lidash,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']","{'homophonic similarity': True, '1-step D-L dist': 1}"
lodash,codash,['Bit Flips'],{'1-step D-L dist': 1}
lodash,ludash,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lodash,lodassh,['Letter Duplicated'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
lodash,modash,['Bit Flips'],{'1-step D-L dist': 1}
lodash,kodash,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",{'1-step D-L dist': 1}
lodash,podash,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lodash,ldoash,['Letters Swapped'],{'1-step D-L dist': 1}
lodash,ldash,['Character Removed'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
lodash,1odash,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
lodash,lodash4,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lodash,xlodash,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 1}
lodash,lodsah,['Letters Swapped'],{'1-step D-L dist': 1}
lodash,lodashh,"['Letter Duplicated', 'Letter Duplicated and Replaced']","{'1-step D-L dist': 1, 'homophonic similarity': True}"
lodash-es,lodash-ex,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lodash._isnative,lodash.isnative,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
lodash._reescape,lodash.reescape,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
lodash._reevaluate,lodash.reevaluate,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
lodash.findkey,lodash.bindkey,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lodash.get,lodash.gte,['Letters Swapped'],{'1-step D-L dist': 1}
lodash.get,lodash.gt,['Character Removed'],{'1-step D-L dist': 1}
lodash.template,lodash-template,['Separator Changed'],{'delimiter modification': 1}
log,logjs,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log0,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,og,['Character Removed'],{'simplification': 1}
log,log6,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log2,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,logg,"['Letter Duplicated', 'Letter Duplicated and Replaced']",{'prefix/ suffix augmentation': 1}
log,logx,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log1,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log5,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log-ng,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log3,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,lo,['Character Removed'],{'simplification': 1}
log,klog,['Double hit character'],{'prefix/ suffix augmentation': 1}
log,iog,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
log,olog,['Double hit character'],{'prefix/ suffix augmentation': 1}
log,l0g,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
log,log9,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,lag,"['Ascii Homoglpyh', 'Swap Vowel']",{'homographic replacement': 1}
log,xlog,"['Prefix Added', 'Prefix Added']",{'prefix/ suffix augmentation': 1}
log,log7,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,ilog,['Double hit character'],{'prefix/ suffix augmentation': 1}
log,loq,['Ascii Homoglpyh'],{'homographic replacement': 1}
log,plog,['Double hit character'],{'prefix/ suffix augmentation': 1}
log,logts,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,log4,['Suffix Added'],{'prefix/ suffix augmentation': 1}
log,logs,['Suffix Added'],"{'prefix/ suffix augmentation': 1, 'grammatical substitution': True}"
log,llog,"['Double hit character', 'Letter Duplicated']",{'prefix/ suffix augmentation': 1}
log-buffer,logbuffer,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
log-driver,logdriver,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
log-node,lot-node,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
log-node,lognode,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
log-ok,log-k,['Character Removed'],{'1-step D-L dist': 1}
log-utils,logutils,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
log-utils,og-utils,['Character Removed'],{'1-step D-L dist': 1}
log-utils,log_utils,['Separator Changed'],{'delimiter modification': 1}
log-utils,xlog-utils,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 1}
log-utils,log-util,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
log-utils,lo-utils,['Character Removed'],{'1-step D-L dist': 1}
log4js,log4s,['Character Removed'],{'1-step D-L dist': 1}
log4js,log4njs,['Double hit character'],{'1-step D-L dist': 1}
log4js,logjs,['Character Removed'],{'1-step D-L dist': 1}
log4js,log4js2,['Suffix Added'],{'1-step D-L dist': 1}
log4js,llog4js,"['Double hit character', 'Letter Duplicated']",{'1-step D-L dist': 1}
log4js,logrjs,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
log4js,log4jx,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
logdown,lodown,['Character Removed'],{'1-step D-L dist': 1}
logform,logfrom,['Letters Swapped'],{'1-step D-L dist': 1}
logform,longform,['Double hit character'],{'1-step D-L dist': 1}
loggly,loggl,['Character Removed'],{'1-step D-L dist': 1}
loggly,loggle,['Swap Vowel'],{'1-step D-L dist': 1}
loggly,logggy,['Letter Duplicated and Replaced'],{'1-step D-L dist': 1}
loggly,loggy,['Character Removed'],{'1-step D-L dist': 1}
loggly,logfly,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
loggly,logly,"['Character Removed', 'Character Removed']",{'1-step D-L dist': 1}
loglevel,loglevels,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
logrocket-vuex,logrocket-vue,['Character Removed'],{'1-step D-L dist': 1}
loki,lokk,['Close Letters on QWERTY Keyboard'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
loki,lomi,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
loki,ooki,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",{'1-step D-L dist': 1}
loki,poki,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
loki,loka,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
loki,louki,['Double hit character'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
loki,moki,['Bit Flips'],{'1-step D-L dist': 1}
loki,joki,['Ascii Homoglpyh'],"{'1-step D-L dist': 1, 'homographic replacement': 1}"
loki,soki,"['Bit Flips', 'Bit Flips']",{'1-step D-L dist': 1}
lokijs,lokjs,['Character Removed'],{'1-step D-L dist': 1}
lolex,lole,['Character Removed'],"{'simplification': 1, '1-step D-L dist': 1}"
long,kong,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",{'1-step D-L dist': 1}
long,song,"['Bit Flips', 'Bit Flips']",{'1-step D-L dist': 1}
long,lorg,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
long,loong,['Letter Duplicated'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
long,loug,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
long,logg,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
long,leng,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, 'homographic replacement': 1, '1-step D-L dist': 1}"
long,lang,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, 'homographic replacement': 1, '1-step D-L dist': 1}"
long,logn,['Letters Swapped'],{'1-step D-L dist': 1}
long,klong,['Double hit character'],{'1-step D-L dist': 1}
long,lung,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
long,pong,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
long,loog,['Letter Duplicated and Replaced'],{'1-step D-L dist': 1}
long,ilong,['Double hit character'],{'1-step D-L dist': 1}
long,ling,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']","{'homophonic similarity': True, '1-step D-L dist': 1}"
long,mong,['Bit Flips'],{'1-step D-L dist': 1}
longest,lognest,['Letters Swapped'],{'1-step D-L dist': 1}
loopback,loopbacks,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
loopback-connector,loopback-connectors,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
loopback-filters,loopback-filter,['Character Removed'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
looper,looger,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
looper,kooper,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",{'1-step D-L dist': 1}
looper,loopr,['Character Removed'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
looper,sooper,"['Bit Flips', 'Bit Flips']",{'1-step D-L dist': 1}
looper,cooper,['Bit Flips'],{'1-step D-L dist': 1}
looper,loopee,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lop,lopp,"['Letter Duplicated', 'Letter Duplicated and Replaced']",{'prefix/ suffix augmentation': 1}
lop,jop,['Ascii Homoglpyh'],{'homographic replacement': 1}
lop,lo,['Character Removed'],{'simplification': 1}
lop,lops,['Suffix Added'],"{'grammatical substitution': True, 'prefix/ suffix augmentation': 1}"
lop,iop,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
lop,lep,"['Ascii Homoglpyh', 'Swap Vowel']",{'homographic replacement': 1}
lop,lopjs,['Suffix Added'],{'prefix/ suffix augmentation': 1}
lop,op,['Character Removed'],{'simplification': 1}
lop,lap,"['Ascii Homoglpyh', 'Swap Vowel']",{'homographic replacement': 1}
lop,loq,['Ascii Homoglpyh'],{'homographic replacement': 1}
lop,lop2,['Suffix Added'],{'prefix/ suffix augmentation': 1}
lorem-ipsum,lorem-hipsum,['After Separator'],{'1-step D-L dist': 1}
lorem-ipsum,loremipsum,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
lost,cost,['Bit Flips'],{'1-step D-L dist': 1}
lost,last,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, 'homographic replacement': 1, '1-step D-L dist': 1}"
lost,lest,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, 'homographic replacement': 1, '1-step D-L dist': 1}"
lost,lust,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lost,losr,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lost,lyst,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lost,lots,['Letters Swapped'],{'1-step D-L dist': 1}
lost,loot,['Letter Duplicated and Replaced'],{'1-step D-L dist': 1}
lost,list,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']","{'homophonic similarity': True, '1-step D-L dist': 1}"
lost,jost,['Ascii Homoglpyh'],"{'1-step D-L dist': 1, 'homographic replacement': 1}"
lost,iost,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
lost,post,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
loupe,lope,['Character Removed'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
loupe,lupe,['Character Removed'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lowdb,loadb,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lowdb,lodb,['Character Removed'],{'1-step D-L dist': 1}
lower-case,lower-cases,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
lower-case,lowercase,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
lowercase-keys,lowercasekeys,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
lowlight,lolight,['Character Removed'],{'1-step D-L dist': 1}
lozad,load,['Character Removed'],{'1-step D-L dist': 1}
lpad,lpsd,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lpad,ipad,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
lpad,lpac,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lpad,load,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lpad,lapd,['Letters Swapped'],{'1-step D-L dist': 1}
lru,ru,['Character Removed'],{'simplification': 1}
lru,lr,['Character Removed'],{'simplification': 1}
lru,iru,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
lru,llru,['Letter Duplicated'],{'prefix/ suffix augmentation': 1}
lru_map,lru-map,['Separator Changed'],{'delimiter modification': 1}
lru_map,lrumap,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
lru-cache,lru-pcache,['After Separator'],{'1-step D-L dist': 1}
lru-cache,mru-cache,['Bit Flips'],{'1-step D-L dist': 1}
lru-cache,lru-cache.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
lru-cache,lfu-cache,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lru-cache,lru-cache2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lru-cache,lru_cache,['Separator Changed'],{'delimiter modification': 1}
lru-memoizer,lru-memoize,['Character Removed'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
lscache,scache,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
lscache,jscache,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
lscache,lcache,['Character Removed'],{'1-step D-L dist': 1}
lscache,kscache,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",{'1-step D-L dist': 1}
lsmod,llmod,['Letter Duplicated and Replaced'],{'1-step D-L dist': 1}
lsmod,jsmod,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
lsmod,smod,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
ltcdr,tcdr,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
ltgt,tgt,['Character Removed'],{'simplification': 1}
ltgt,ltg,['Character Removed'],{'simplification': 1}
ltgt,lygt,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
ltgt,lttt,"['Close Letters on QWERTY Keyboard', 'Letter Duplicated and Replaced']",{'1-step D-L dist': 1}
ltx,tx,['Character Removed'],{'simplification': 1}
ltx,ltxx,"['Letter Duplicated', 'Letter Duplicated and Replaced', 'Suffix Added']",{'prefix/ suffix augmentation': 1}
ltx,lt,['Character Removed'],{'simplification': 1}
ltx,itx,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
ltx,jtx,['Ascii Homoglpyh'],{'homographic replacement': 1}
lunr,luner,['Double hit character'],{'1-step D-L dist': 1}
lunr,lun,['Character Removed'],{'grammatical substitution': True}
lunr,lung,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lunr,lune,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lunr,linr,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
lusca,lucca,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lusca,lasca,['Swap Vowel'],{'1-step D-L dist': 1}
lusca,lusc,['Character Removed'],{'1-step D-L dist': 1}
lusca,lusca2,['Suffix Added'],"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
luxon,luon,['Character Removed'],{'1-step D-L dist': 1}
luxon,luxo,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
luxon,luxor,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
lws,iws,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
lws,lw,['Character Removed'],"{'grammatical substitution': True, 'simplification': 1}"
lws-body-parser,ls-body-parser,['Character Removed'],{'1-step D-L dist': 1}
lws-log,ls-log,['Character Removed'],{'1-step D-L dist': 1}
lws-rewrite,ws-rewrite,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
lws-static,ws-static,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
lynx,lynx3,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lynx,linx,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
lynx,synx,"['Bit Flips', 'Bit Flips']",{'1-step D-L dist': 1}
lz-string,l-string,['Character Removed'],{'1-step D-L dist': 1}
lzma,zma,['Character Removed'],{'simplification': 1}
lzma,ozma,"['Bit Flips', 'Close Letters on QWERTY Keyboard']","{'1-step D-L dist': 1, 'asemantic substitution': 1}"
lzma,lama,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
lzo,izo,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
lzo,zo,['Character Removed'],{'simplification': 1}
lzo,lz,['Character Removed'],{'simplification': 1}
m3u8-parser,m3u8-parsed,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
m3u8-parser,m3u-parser,['Character Removed'],{'1-step D-L dist': 1}
machina,xmachina,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 1}
machina,machina.ts,['Suffix Added'],{'prefix/ suffix augmentation': 1}
machina,macchina,['Letter Duplicated'],{'1-step D-L dist': 1}
machina,mashina,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
machine,xmachine,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 1}
machine,machines,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
machine,maschine,['Double hit character'],{'1-step D-L dist': 1}
machine,machinejs,['Suffix Added'],"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 2}"
machine,mochine,"['Ascii Homoglpyh', 'Swap Vowel']","{'homophonic similarity': True, 'homographic replacement': 1, '1-step D-L dist': 1}"
machine,mchine,['Character Removed'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
machine,machine.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
madge,badge,['Bit Flips'],{'1-step D-L dist': 1}
madge,midge,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
madge,marge,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
madge,mage,['Character Removed'],{'1-step D-L dist': 1}
